,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bredasdorp,-34.53,20.04,48.2,81,100,17.22,ZA,1594671400
1,Mataura,-46.19,168.86,39.0,83,100,3.0,NZ,1594671566
2,Kangaatsiaq,68.31,-53.46,41.76,92,96,16.28,GL,1594671652
3,Albany,42.6,-73.97,89.01,37,4,1.01,US,1594671492
4,Mahébourg,-20.41,57.7,69.8,88,40,11.41,MU,1594671606
5,Hermanus,-34.42,19.23,48.99,79,100,8.99,ZA,1594671652
6,Chui,-33.7,-53.46,46.96,58,0,11.32,UY,1594671652
7,Harda,22.33,77.1,81.55,80,100,3.33,IN,1594671653
8,Cape Town,-33.93,18.42,54.0,66,75,6.93,ZA,1594671653
9,Berkakit,56.58,124.77,61.03,82,53,1.88,RU,1594671653
10,Wonosobo,-7.36,109.9,67.17,94,63,0.74,ID,1594671653
11,Usakos,-22.0,15.6,45.93,56,0,1.59,NA,1594671653
12,Port-de-Bouc,43.4,4.98,77.0,47,0,5.82,FR,1594671653
13,Saint-Philippe,-21.36,55.77,68.0,72,44,5.82,RE,1594671575
14,Lüderitz,-26.65,15.16,57.2,76,0,11.41,NA,1594671654
15,Kiama,-34.68,150.87,55.99,90,100,5.99,AU,1594671609
16,Atuona,-9.8,-139.03,79.5,77,34,19.44,PF,1594671654
17,Hobart,-42.88,147.33,42.8,81,75,10.29,AU,1594671557
18,Lakselv,70.05,24.97,50.0,81,40,16.11,NO,1594671654
19,Florø,61.6,5.03,55.4,87,75,8.05,NO,1594671654
20,Paamiut,61.99,-49.67,43.99,82,0,2.98,GL,1594671654
21,Butaritari,3.07,172.79,82.81,72,58,3.96,KI,1594671654
22,Rikitea,-23.12,-134.97,72.66,85,26,15.68,PF,1594671484
23,Beira,-19.84,34.84,60.01,82,0,6.93,MZ,1594671655
24,Yellowknife,62.46,-114.35,60.8,93,90,16.11,CA,1594671576
25,Bandarbeyla,9.49,50.81,78.89,76,81,31.03,SO,1594671655
26,Atherton,53.52,-2.49,61.0,78,80,4.0,GB,1594671655
27,Touros,-5.2,-35.46,78.8,61,20,9.17,BR,1594671656
28,Geraldton,-28.77,114.6,66.2,72,75,20.8,AU,1594671656
29,Walvis Bay,-22.96,14.51,55.99,82,0,9.17,NA,1594671638
30,Kavieng,-2.57,150.8,81.79,76,100,9.57,PG,1594671656
31,Kavaratti,10.57,72.64,83.01,76,100,11.32,IN,1594671409
32,Bud,39.45,-86.18,82.0,47,40,6.93,US,1594671657
33,Sola,-13.88,167.55,80.17,82,55,23.0,VU,1594671657
34,Toropets,56.5,31.64,51.67,93,37,3.98,RU,1594671657
35,Nikolskoye,59.7,30.79,57.99,71,20,6.71,RU,1594671657
36,Venice,27.1,-82.45,91.0,70,1,12.75,US,1594671657
37,Busselton,-33.65,115.33,54.0,75,100,22.62,AU,1594671566
38,Port Shepstone,-30.74,30.45,65.75,27,0,8.99,ZA,1594671657
39,Korla,41.76,86.15,78.01,53,48,5.99,CN,1594671590
40,Barrow,71.29,-156.79,37.4,80,90,11.41,US,1594671566
41,Tiksi,71.69,128.87,49.69,93,100,13.71,RU,1594671658
42,College,64.86,-147.8,57.2,87,90,4.05,US,1594671658
43,Zhaotong,27.32,103.72,60.6,93,100,4.32,CN,1594671658
44,Bethel,41.37,-73.41,87.01,48,20,10.29,US,1594671658
45,Ushuaia,-54.8,-68.3,33.8,80,40,21.92,AR,1594671393
46,Lompoc,34.64,-120.46,69.01,68,7,17.22,US,1594671658
47,Aklavik,68.22,-135.01,64.4,63,40,3.36,CA,1594671659
48,La Palma,33.85,-118.05,88.0,51,20,11.41,US,1594671659
49,Vanimo,-2.67,141.3,76.39,85,30,4.38,PG,1594671659
50,Road Town,18.42,-64.62,86.0,74,40,13.87,VG,1594671574
51,Leningradskiy,69.38,178.42,37.67,87,100,8.01,RU,1594671599
52,Marabu,4.41,114.01,77.0,94,40,1.12,MY,1594671660
53,Homer,59.64,-151.55,55.4,82,90,1.7,US,1594671660
54,Ribeira Grande,38.52,-28.7,71.6,73,40,14.99,PT,1594671660
55,Port Augusta,-32.5,137.77,48.2,100,90,4.7,AU,1594671660
56,Fairbanks,64.84,-147.72,57.2,100,90,4.03,US,1594671539
