City Name,Latitude,Longitude,Temperature,Humidity,Cloudiness,Windspeed,Date
Mataura,-46.19,168.86,282.98,49,0,0.15,2020-07-19 01:35:41
Jamestown,42.1,-79.24,296.86,69,1,2.72,2020-07-19 01:35:41
Lüderitz,-26.65,15.16,291.15,25,0,2.1,2020-07-19 01:35:41
Ushuaia,-54.8,-68.3,273.15,94,75,4.1,2020-07-19 01:35:41
Rikitea,-23.12,-134.97,294.16,82,100,5.0,2020-07-19 01:35:41
Hobart,-42.88,147.33,286.93,54,20,3.1,2020-07-19 01:31:07
Vaini,-21.2,-175.2,299.15,83,75,6.2,2020-07-19 01:35:42
George Town,5.41,100.34,300.46,88,20,1.5,2020-07-19 01:35:42
Barrow,71.29,-156.79,276.15,74,90,5.1,2020-07-19 01:35:42
Krasnokamensk,50.1,118.04,288.3,86,98,5.12,2020-07-19 01:35:42
Kavieng,-2.57,150.8,301.51,74,85,3.15,2020-07-19 01:35:42
Saint-Philippe,-21.36,55.77,286.84,68,90,4.6,2020-07-19 01:35:42
Nome,64.5,-165.41,287.23,71,1,9.8,2020-07-19 01:35:42
Mahébourg,-20.41,57.7,293.15,72,40,7.2,2020-07-19 01:35:43
Ostrovnoy,68.05,39.51,288.67,60,1,7.25,2020-07-19 01:35:43
New Norfolk,-42.78,147.06,285.68,73,15,1.79,2020-07-19 01:35:43
Yumen,40.28,97.2,299.95,16,96,3.03,2020-07-19 01:35:43
Upernavik,72.79,-56.15,281.72,56,0,2.44,2020-07-19 01:35:43
Arraial do Cabo,-22.97,-42.03,294.34,76,0,7.44,2020-07-19 01:35:43
Nikolskoye,59.7,30.79,287.3,76,100,3.0,2020-07-19 01:35:44
Punta Arenas,-53.15,-70.92,274.98,74,99,6.7,2020-07-19 01:35:44
Hilo,19.73,-155.09,299.87,66,75,4.1,2020-07-19 01:35:44
Beloit,42.51,-89.03,302.21,74,20,5.1,2020-07-19 01:35:44
