,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tommot,58.96,126.29,60.62,89,41,2.8,RU,1594404858
1,Ushuaia,-54.8,-68.3,32.0,89,84,5.08,AR,1594404732
2,Butaritari,3.07,172.79,82.35,78,98,9.69,KI,1594404859
3,Leningradskiy,69.38,178.42,43.56,85,22,9.4,RU,1594404859
4,Port Alfred,-33.59,26.89,61.0,92,65,1.01,ZA,1594404859
5,Hobart,-42.88,147.33,39.99,93,100,5.82,AU,1594404788
6,Kaitangata,-46.28,169.85,41.0,68,92,1.01,NZ,1594404800
7,Cape Town,-33.93,18.42,54.0,81,75,20.8,ZA,1594404590
8,Hervey Bay,-25.3,152.85,61.0,94,47,4.0,AU,1594404860
9,Busselton,-33.65,115.33,37.0,75,0,11.72,AU,1594404860
10,Constantine,36.37,6.61,87.8,33,40,11.41,DZ,1594404860
11,Khatanga,71.97,102.5,56.26,76,100,15.3,RU,1594404860
12,Margate,51.38,1.39,64.99,56,7,1.99,GB,1594404860
13,San Patricio,19.22,-104.7,89.6,70,75,11.41,MX,1594404860
14,Colmenar Viejo,40.66,-3.77,91.0,22,40,4.7,ES,1594404860
15,Atuona,-9.8,-139.03,79.93,79,71,20.87,PF,1594404805
16,Ust-Nera,64.57,143.2,54.5,53,32,2.98,RU,1594404861
17,Avera,33.19,-82.53,93.0,62,40,6.93,US,1594404861
18,Bluff,-46.6,168.33,49.28,76,100,23.94,NZ,1594404861
19,Dingle,11.0,122.67,78.24,84,100,1.34,PH,1594404861
20,Qaanaaq,77.48,-69.36,45.91,57,46,2.3,GL,1594404861
21,New Norfolk,-42.78,147.06,37.99,92,100,2.55,AU,1594404861
22,Katsuura,35.13,140.3,80.01,100,75,10.29,JP,1594404862
23,Ubari,26.59,12.78,92.32,16,0,11.68,LY,1594404650
24,Tiksi,71.69,128.87,38.14,92,77,8.5,RU,1594404709
25,São Filipe,14.9,-24.5,75.9,79,61,10.09,CV,1594404862
26,Hurricane,37.18,-113.29,95.0,9,1,3.36,US,1594404783
27,Ust'-Uda,54.17,103.03,61.63,76,70,3.78,RU,1594404862
28,Albany,42.6,-73.97,88.0,59,100,8.95,US,1594404862
29,Alyangula,-13.85,136.42,78.8,61,90,4.7,AU,1594404862
30,Lata,40.16,-8.33,87.01,43,0,6.06,PT,1594404863
31,Zonguldak,41.25,31.83,61.63,88,0,1.45,TR,1594404755
32,Urucará,-2.54,-57.76,87.67,61,58,5.48,BR,1594404863
33,Athabasca,54.72,-113.29,67.15,62,27,6.62,CA,1594404621
34,Nikolskoye,59.7,30.79,59.0,82,90,6.71,RU,1594404863
35,Port Elizabeth,-33.92,25.57,59.0,87,81,5.82,ZA,1594404710
36,Mataura,-46.19,168.86,41.0,92,99,3.2,NZ,1594404782
37,Chokurdakh,70.63,147.92,45.27,70,0,11.52,RU,1594404799
38,Huai'an,33.59,119.02,71.13,88,100,5.79,CN,1594404863
39,Severo-Kuril'sk,50.68,156.12,49.66,93,100,4.97,RU,1594404813
40,Porto-Novo,6.5,2.6,78.8,88,20,10.29,BJ,1594404746
41,Rikitea,-23.12,-134.97,67.53,64,59,17.96,PF,1594404709
42,Viedma,-40.81,-63.0,48.18,51,57,20.76,AR,1594404864
43,Bilecik Province,40.0,30.17,71.6,64,0,12.75,TR,1594404864
44,Norman Wells,65.28,-126.83,46.4,100,90,11.41,CA,1594404864
45,Barrow,71.29,-156.79,35.6,84,90,5.82,US,1594404734
46,Srandakan,-7.94,110.25,75.07,89,92,5.01,ID,1594404865
47,Hilo,19.73,-155.09,75.2,83,90,5.82,US,1594404841
48,Lompoc,34.64,-120.46,72.0,60,42,11.41,US,1594404865
49,Vao,-22.67,167.48,68.0,72,61,19.3,NC,1594404865
50,Bairiki Village,1.33,172.98,82.11,79,28,17.36,KI,1594404865
51,Coos Bay,43.37,-124.22,73.99,77,90,6.93,US,1594404651
52,Cabo San Lucas,22.89,-109.91,88.0,70,75,19.46,MX,1594404602
53,Saint Paul Harbor,57.79,-152.41,57.2,71,1,4.7,US,1594404575
54,Kapaa,22.08,-159.32,80.6,74,40,14.99,US,1594404608
55,Qian’an,44.99,124.06,69.6,77,100,7.4,CN,1594404866
56,Punta Arenas,-53.15,-70.92,33.8,80,75,8.05,CL,1594404866
57,Termez,37.22,67.28,80.6,30,0,2.24,UZ,1594404866
58,Carnarvon,-24.87,113.63,57.2,47,0,10.29,AU,1594404597
59,Vaini,-21.2,-175.2,69.8,88,20,10.29,TO,1594404710
60,Pacific Grove,36.62,-121.92,75.0,77,40,9.17,US,1594404866
61,Hermanus,-34.42,19.23,53.01,76,83,11.99,ZA,1594404713
62,Sørland,67.67,12.69,55.4,76,20,9.17,NO,1594404867
63,Zhigansk,66.77,123.37,61.36,56,100,11.36,RU,1594404840
64,Zhalantun,48.0,122.72,63.63,81,4,2.06,CN,1594404867
65,Shimoda,34.67,138.95,72.0,94,90,13.04,JP,1594404867
66,Hay River,60.82,-115.8,62.6,82,40,6.93,CA,1594404867
67,Varhaug,58.61,5.65,57.2,67,20,19.46,NO,1594404867
68,Avarua,-21.21,-159.78,69.8,94,18,2.24,CK,1594404712
69,Provideniya,64.38,-173.3,55.87,66,96,6.02,RU,1594404867
70,Amarpur,25.03,86.9,81.23,88,94,8.95,IN,1594404868
71,Dikson,73.51,80.55,44.24,83,92,17.83,RU,1594404868
